age,weight_kg,height_cm,bmi,neck_cm,abdomen_cm,bodyfat_pct
26,101.151016,178.435,31.76948384519481,40.6,106.8,25.2
54,73.368506,171.45,24.95943193258129,37.4,87.6,11.5
53,101.83140399999999,197.485,26.11039867296388,41.1,99.2,17.4
67,75.749864,171.45,25.76955259809011,36.5,89.7,26.6
26,83.80112199999999,183.51500000000001,24.88322675906615,37.4,86.4,10.4
40,72.688118,174.625,23.83694455190563,36.9,83.3,14.7
46,70.987148,173.355,23.621473404575173,35.9,88.2,17.8
65,86.069082,167.005,30.85945297221306,40.8,100.5,29.9
49,96.501698,190.5,26.59163218770882,40.8,106.6,20.4
47,68.719188,169.54500000000002,23.90606223791246,36.9,86.1,16.0
51,99.336648,162.56,37.59084774028923,41.2,122.1,47.5
27,90.83179799999999,186.69,26.061283442850097,38.2,100.1,21.0
40,80.172386,180.34,24.651348310829928,37.4,93.1,24.9
64,72.57472,167.005,26.021146116227087,36.5,90.9,23.1
64,68.152198,170.815,23.3575806132555,38.1,89.0,26.8
49,69.28617799999999,186.69,19.879455909589772,35.1,79.6,6.3
31,63.616278,173.355,21.16876450473909,33.9,76.4,15.6
35,101.944802,183.51500000000001,30.270664217050705,43.9,100.4,20.3
41,78.358018,180.975,23.92468738646311,36.3,89.2,20.1
58,79.605396,181.61,24.1358717936762,38.0,88.1,15.4
35,75.40967,172.72,25.277945992743195,38.5,90.4,21.8
53,70.079964,175.895,22.650973988624465,37.6,88.7,15.0
41,76.31685399999999,176.53,24.489697279172,36.5,87.2,24.4
61,67.245014,171.45,22.876264506987177,36.0,81.8,18.5
47,72.80151599999999,178.435,22.865480525353213,36.0,83.9,9.6
40,63.162686,175.26,20.563402458457933,34.3,77.9,6.6
48,79.83219199999999,185.42000000000002,23.220143569204378,36.7,86.5,14.1
27,97.975872,193.04,26.292054246158354,39.4,90.9,7.8
34,63.50288,179.07,19.803764571062164,36.0,83.4,15.1
22,69.853168,168.275,24.668736648260055,34.0,87.9,25.3
28,68.60579,172.085,23.167263447583633,34.5,76.3,14.0
54,91.85238,179.705,28.442652297908072,40.5,105.3,31.5
40,71.667536,175.895,23.164102849208188,36.3,86.6,16.7
47,89.357624,182.88,26.71770721627863,40.0,94.0,22.2
55,70.193362,181.61,21.28220034228713,36.9,86.6,13.8
44,84.368112,177.165,26.879579685085297,37.8,101.1,27.1
70,77.450834,177.8,24.49980261185012,38.7,94.9,27.0
25,79.83219199999999,184.15,23.541525817891106,37.8,88.5,12.4
56,81.07957,173.99,26.783224433303786,35.6,94.7,29.8
28,82.78054,183.51500000000001,24.580183402054523,37.0,90.8,10.0
68,70.533556,175.895,22.79758223450553,36.3,84.3,15.2
50,71.213944,169.54500000000002,24.773939084833376,37.8,89.4,26.1
25,86.636072,187.96,24.522677168071645,38.1,82.5,4.1
66,77.67763,175.895,25.10666210713229,37.4,98.6,18.8
31,67.131616,171.45,22.83768733243914,38.8,88.7,22.9
41,69.399576,175.895,22.431061619802865,36.4,80.6,11.4
61,80.739376,170.18,27.878432410908037,37.4,99.7,25.8
55,90.038012,188.595,25.314278174498373,38.3,96.7,25.2
54,68.719188,179.705,21.279317645101596,35.6,83.9,21.5
37,65.884238,175.895,21.294847714224616,36.0,79.4,9.9
67,103.305578,184.785,30.25452531697685,41.3,113.4,32.6
43,77.450834,173.99,25.584534668456623,37.2,90.6,19.7
39,67.358412,180.975,20.566229099217203,34.6,79.5,5.6
44,84.027918,181.61,25.476753559991543,39.5,98.1,25.3
72,84.708306,167.64000000000001,30.14190470529701,38.9,111.5,29.3
47,72.461322,179.705,22.4380923683497,34.5,84.4,10.8
81,73.14171,178.435,22.972328565191315,37.8,95.4,21.5
55,66.564626,174.625,21.82884001867177,38.7,82.8,8.8
29,72.688118,180.975,22.193523320872437,37.3,84.5,5.7
43,80.852774,178.435,25.394217468188227,37.8,89.2,12.2
64,86.295878,184.785,25.272989864126657,39.3,97.8,18.4
42,76.203456,181.61,23.104424281125937,36.5,89.7,17.7
30,93.099758,180.975,28.42571395699886,39.4,101.8,21.2
49,77.904426,181.61,23.620148037401066,35.5,90.1,18.1
23,89.924614,186.69,25.800995967765456,42.1,88.6,11.7
28,83.34753,172.085,28.145353114006564,38.0,89.6,16.0
44,81.533162,176.53,26.16358446318673,39.2,93.2,18.2
42,80.51258,174.625,26.40285589992667,38.9,92.1,27.2
63,99.40468680000001,176.53,31.898467511028496,40.2,113.8,27.3
44,83.460928,187.96,23.623940308508807,37.9,89.1,6.0
35,85.161898,176.53,27.328027721631756,40.5,96.4,22.1
45,119.181298,174.625,39.08366415608864,43.2,126.2,34.5
40,60.554532,171.45,20.600211208652873,33.6,73.7,10.8
54,69.512974,179.07,21.678049432251974,38.5,91.8,12.4
27,76.203456,180.975,23.26684504153865,38.1,79.1,11.8
24,94.573932,184.785,27.697337117847084,39.2,99.1,19.2
48,80.399182,184.785,23.546057573805253,36.8,90.0,20.1
60,71.554138,171.45,24.34219713981266,40.4,93.3,25.8
27,60.441134,164.465,22.34527095729405,36.4,73.9,3.7
57,93.213156,177.8,29.48585321660439,40.1,105.5,32.3
26,109.655866,189.23,30.623293046955453,41.8,102.9,19.6
40,78.584814,176.53,25.21747431570014,36.5,93.0,18.3
35,73.822098,167.64000000000001,26.268246269274904,36.4,92.8,20.9
48,98.429464,177.8,31.13591312896911,37.3,111.2,31.6
61,81.533162,167.005,29.23313133994887,38.4,98.3,24.6
38,85.61549,186.055,24.732593257193404,37.5,91.6,9.6
50,88.337042,179.705,27.354106345765913,39.0,97.6,18.7
40,91.738982,177.8,29.019531937023054,38.5,100.9,24.2
49,90.038012,186.69,25.833531902151034,40.1,95.0,21.2
42,74.956078,177.165,23.88091689763627,38.3,87.0,14.9
