filepath,label
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\ras_malai\8f592c6354.jpg,ras_malai
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\chapati\4aa81d7cfc.jpg,chapati
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\chicken_tikka_masala\0c17814d81.jpg,chicken_tikka_masala
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\chapati\1a5c0b34c9.jpg,chapati
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\naan\1c1b648e34.jpg,naan
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\gulab_jamun\2a8f099caf.jpg,gulab_jamun
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\jalebi\c81b531e3b.jpg,jalebi
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\chana_masala\8ff9f38323.jpg,chana_masala
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\chicken_tikka_masala\0df9285247.jpg,chicken_tikka_masala
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\rasgulla\9c0002e783.jpg,rasgulla
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\palak_paneer\21cab3ef44.jpg,palak_paneer
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\chicken_tikka_masala\2a9968827f.jpg,chicken_tikka_masala
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\jalebi\f904250377.jpg,jalebi
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\poha\7ac080874b.jpg,poha
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\rasgulla\15e2514789.jpg,rasgulla
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\biryani\2dcb82424b.jpg,biryani
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\chapati\2ce18ad8e9.jpg,chapati
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\palak_paneer\38cc234193.jpg,palak_paneer
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\dal_makhani\04ab82a7ea.jpg,dal_makhani
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\lassi\7c6c62acce.jpg,lassi
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\naan\3eeba485b4.jpg,naan
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\butter_chicken\4e58fa470d.jpg,butter_chicken
D:\Projects\fitai\datasets\raw\food101\Indian Food Images\Indian Food Images\paneer_butter_masala\6cf94acea9.jpg,paneer_butter_masala
