workout_frequency_week,avg_session_duration,avg_intensity,sleep_avg_7d,previous_injuries_count,age,experience_level,recovery_score_avg,injury_risk
3,90.0,7.647058823529411,7.2,3,43,2,79.0,1
2,42.599999999999994,7.4576271186440675,7.6,3,51,1,80.22222222222223,1
2,55.800000000000004,6.581632653061225,6.5,1,52,1,78.11111111111111,1
3,45.0,7.473684210526316,8.2,2,52,1,87.55555555555554,0
4,72.0,9.329608938547485,7.2,3,55,2,85.0,1
4,94.2,8.449197860962567,6.5,3,24,3,81.11111111111111,1
4,101.39999999999999,7.513513513513513,6.0,1,41,3,82.33333333333333,1
3,60.6,7.206703910614525,6.5,3,52,2,81.11111111111111,1
3,66.0,10.0,8.1,3,42,2,90.0,1
3,77.4,8.829787234042554,7.4,1,56,2,87.11111111111111,1
2,54.6,6.934673366834171,7.2,1,22,1,84.0,1
4,82.8,7.011494252873564,6.6,0,27,2,78.66666666666666,1
3,30.6,7.374301675977653,8.4,0,47,1,94.66666666666666,0
4,75.6,7.210526315789474,8.2,3,31,2,85.55555555555554,1
4,61.2,8.115183246073299,7.9,0,22,2,84.88888888888889,1
5,110.4,7.0,7.7,1,33,3,80.77777777777777,1
3,58.199999999999996,7.6608187134502925,6.1,0,21,1,76.88888888888889,1
2,70.19999999999999,7.664670658682635,7.3,0,39,1,78.55555555555556,1
2,70.8,7.897727272727273,6.0,0,43,1,80.33333333333333,1
5,106.8,7.297297297297297,6.1,2,35,3,76.88888888888889,2
2,76.8,8.440860215053764,7.8,1,43,1,91.33333333333334,1
4,114.0,8.571428571428571,7.7,0,18,3,83.77777777777777,1
2,36.6,7.554347826086957,8.0,1,42,1,93.44444444444444,0
5,114.0,8.46590909090909,7.8,0,48,3,85.33333333333334,1
3,70.19999999999999,8.068181818181818,7.7,1,43,1,91.77777777777777,1
3,79.80000000000001,9.135802469135802,6.5,3,43,2,83.11111111111111,1
2,67.8,7.470588235294118,7.6,3,30,1,84.22222222222223,1
4,63.0,8.695652173913043,8.1,2,58,2,94.0,1
3,69.0,7.393939393939394,6.4,0,25,2,79.55555555555556,1
4,69.6,7.687861271676301,7.1,3,50,2,77.44444444444444,1
