skin_humidity,skin_temperature,steps,stress_level
28.09,97.09,151,2
22.57,91.57,103,1
12.8,81.8,7,0
25.52,94.52,178,2
17.93,86.93,65,1
21.68,90.68,120,1
24.5,93.5,147,2
27.32,96.32,145,2
20.72,89.72,100,1
18.23,87.23,4,1
28.31,97.31,173,2
20.56,89.56,122,1
18.09,87.09,81,1
27.06,96.06,190,2
19.96,88.96,100,1
13.96,82.96,32,0
14.09,83.09,45,0
29.92,98.92,192,2
25.21,94.21,147,2
10.38,79.38,38,0
17.3,86.3,2,1
20.75,89.75,103,1
20.98,89.98,126,1
24.1,93.1,178,2
26.32,95.32,187,2
10.12,79.12,12,0
11.32,80.32,41,0
20.02,89.02,106,1
19.55,88.55,97,1
23.7,92.7,138,2
27.4,96.4,153,2
18.72,87.72,53,1
24.15,93.15,183,2
14.99,83.99,44,0
14.96,83.96,41,0
15.61,84.61,15,1
15.6,84.6,14,1
11.56,80.56,65,0
20.55,89.55,121,1
28.63,97.63,134,2
21.35,90.35,125,1
22.71,91.71,117,1
10.77,79.77,77,0
21.36,90.36,126,1
12.93,81.93,20,0
25.22,94.22,148,2
17.42,86.42,14,1
28.18,97.18,160,2
21.5,90.5,102,1
11.82,80.82,0,0
24.56,93.56,153,2
16.22,85.22,76,1
11.58,80.58,67,0
24.49,93.49,146,2
26.88,95.88,172,2
21.21,90.21,111,1
19.76,88.76,118,1
14.44,83.44,80,0
16.51,85.51,14,1
18.38,87.38,19,1
27.76,96.76,189,2
28.48,97.48,190,2
17.86,86.86,58,1
14.07,83.07,43,0
14.61,83.61,6,0
24.85,93.85,182,2
26.38,95.38,193,2
22.3,91.3,106,1
10.62,79.62,62,0
18.45,87.45,26,1
20.18,89.18,122,1
11.8,80.8,89,0
15.87,84.87,41,1
18.11,87.11,83,1
18.25,87.25,6,1
21.14,90.14,104,1
23.49,92.49,188,2
19.92,88.92,96,1
23.15,92.15,154,2
29.68,98.68,168,2
18.84,87.84,65,1
24.45,93.45,142,2
21.75,90.75,127,1
28.21,97.21,163,2
23.9,92.9,158,2
24.32,93.32,200,2
11.06,80.06,15,0
21.65,90.65,117,1
11.84,80.84,2,0
22.99,91.99,138,2
28.43,97.43,185,2
12.4,81.4,58,0
14.74,83.74,19,0
22.93,91.93,132,2
24.59,93.59,156,2
23.82,92.82,150,2
21.63,90.63,115,1
13.65,82.65,1,0
10.76,79.76,76,0
22.16,91.16,92,1
20.7,89.7,98,1
23.67,92.67,135,2
16.99,85.99,62,1
13.33,82.33,60,0
28.64,97.64,135,2
22.59,91.59,105,1
10.32,79.32,32,0
13.72,82.72,8,0
18.29,87.29,10,1
12.97,81.97,24,0
16.92,85.92,55,1
13.34,82.34,61,0
29.87,98.87,187,2
20.78,89.78,106,1
18.18,87.18,90,1
26.51,95.51,135,2
23.2,92.2,159,2
21.49,90.49,101,1
15.69,84.69,23,1
22.38,91.38,114,1
20.07,89.07,111,1
22.19,91.19,95,1
17.81,86.81,53,1
16.83,85.83,46,1
17.18,86.18,81,1
28.04,97.04,146,2
12.75,81.75,2,0
24.13,93.13,181,2
23.69,92.69,137,2
12.59,81.59,77,0
11.48,80.48,57,0
18.98,87.98,79,1
25.69,94.69,195,2
15.83,84.83,37,1
19.64,88.64,106,1
17.01,86.01,64,1
28.25,97.25,167,2
15.59,84.59,13,1
26.23,95.23,178,2
16.08,85.08,62,1
13.3,82.3,57,0
23.31,92.31,170,2
16.68,85.68,31,1
29.4,98.4,140,2
12.57,81.57,75,0
17.72,86.72,44,1
17.77,86.77,49,1
23.17,92.17,156,2
23.68,92.68,136,2
29.36,98.36,136,2
19.39,88.39,119,1
20.09,89.09,113,1
15.21,84.21,66,1
14.51,83.51,87,0
27.73,96.73,186,2
26.73,95.73,157,2
14.85,83.85,30,0
11.95,80.95,13,0
28.7,97.7,141,2
19.37,88.37,117,1
17.0,86.0,63,1
11.34,80.34,43,0
10.42,79.42,42,0
15.2,84.2,65,1
24.72,93.72,169,2
24.19,93.19,187,2
23.84,92.84,152,2
10.39,79.39,39,0
24.99,93.99,196,2
26.68,95.68,152,2
23.43,92.43,182,2
