filepath,label
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\goddess\00000135.jpeg,goddess
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\warrior2\00000341.jpg,warrior2
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\plank\00000327.jpg,plank
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\downdog\00000348.jpg,downdog
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\goddess\00000337.jpg,goddess
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\plank\00000176.jpg,plank
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\warrior2\00000136.jpg,warrior2
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\warrior2\00000236.jpg,warrior2
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\goddess\00000298.jpg,goddess
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\goddess\00000178.jpg,goddess
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\goddess\00000206.jpg,goddess
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\plank\00000348.jpg,plank
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\warrior2\00000369.jpg,warrior2
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\plank\00000389.jpg,plank
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\warrior2\00000327.jpg,warrior2
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\downdog\00000274.jpg,downdog
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\goddess\00000097.jpg,goddess
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\plank\00000203.jpg,plank
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\tree\00000088.jpg,tree
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\warrior2\00000309.jpg,warrior2
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\goddess\00000266.jpg,goddess
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\goddess\00000193.png,goddess
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\plank\00000299.jpg,plank
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\goddess\00000398.jpg,goddess
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\tree\00000123.jpg,tree
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\plank\00000399.jpg,plank
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\downdog\00000341.jpg,downdog
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\downdog\00000417.jpg,downdog
D:\Projects\fitai\datasets\raw\yoga\DATASET\TRAIN\warrior2\00000268.jpg,warrior2
